domain	bias_rating	category	mbfc_ideo
fireboebert.com	left	fake-news	-1.0
firstinfreedomdaily.com	right	fake-news	1.0
firststatetimes.com	right-center	fake-news	1.0
fl24.net	far-right	fake-news	1.0
flagandcross.com	extreme right	fake-news	1.0
thecareerbd.com	right-center	fake-news	1.0
floridacapitalstar.com	right	fake-news	1.0
floridaparishnews.com	right-center	fake-news	1.0
focusonthefamily.com	extreme right	fake-news	1.0
bannedbook.org	right	fake-news	1.0
conservativeglobe.com	extreme right	fake-news	1.0
fortsmithtimes.com	right-center	fake-news	1.0
foxnews.com	right	fake-news	1.0
frankspeech.com	far right	fake-news	1.0
freedomfirstnetwork.com	far right	fake-news	1.0
freedomnewsreport.com	right	fake-news	1.0
freedomproject.com	extreme right	fake-news	1.0
free-speechfront.info	extreme-right	fake-news	1.0
freewestmedia.com	right	fake-news	1.0
fresnoleader.com	right-center	fake-news	1.0
friatider.se	extreme right	fake-news	1.0
frontpagemag.com	extreme right	fake-news	1.0
ftwaynetimes.com	right-center	fake-news	1.0
news.gab.com	extreme right	fake-news	1.0
gadsdentoday.com	right-center	fake-news	1.0
galesburgreporter.com	right-center	fake-news	1.0
gardenstatetimes.com	right-center	fake-news	1.0
gatestoneinstitute.org	extreme right	fake-news	1.0
gbnews.com	right	fake-news	1.0
gellerreport.com	extreme right	fake-news	1.0
gemstatewire.com	right-center	fake-news	1.0
geneseenews.com	right-center	fake-news	1.0
genzconservative.com	far-right	fake-news	1.0
georgiamountainnews.com	right-center	fake-news	1.0
georgiastarnews.com	right	fake-news	1.0
gettr.com	far right	fake-news	1.0
ghost.report	right	fake-news	1.0
girlsjustwannahaveguns.com	extreme right	fake-news	1.0
glaciercountrynews.com	right-center	fake-news	1.0
gloucestertoday.com	right-center	fake-news	1.0
gnews.org	far right	fake-news	1.0
goldcountrytoday.com	right-center	fake-news	1.0
goldenstatetoday.com	right-center	fake-news	1.0
gopdailybrief.com	right	fake-news	1.0
gop.gov	right	fake-news	1.0
gopusa.com	right	fake-news	1.0
grandcanyontimes.com	right-center	fake-news	1.0
grandjunctiontimes.com	right-center	fake-news	1.0
grandrapidsminews.com	left-center	fake-news	-1.0
grandrapidsreporter.com	right-center	fake-news	1.0
en.granma.cu	far left	fake-news	-1.0
greatamericandaily.com	extreme right	fake-news	1.0
greatlakeswire.com	right-center	fake-news	1.0
greatreject.org	extreme right	fake-news	1.0
grundyreporter.com	right-center	fake-news	1.0
grunge.com	left-center	fake-news	-1.0
gtrtimes.com	right-center	fake-news	1.0
gucmakale.com	left	fake-news	-1.0
gulfnews.com	right	fake-news	1.0
hagmannreport.com	extreme right	fake-news	1.0
halturnerradioshow.com	extreme right	fake-news	1.0
hannity.com	extreme right	fake-news	1.0
harfordnews.com	right-center	fake-news	1.0
hartfordreporter.com	right-center	fake-news	1.0
en.hawarnews.org	far left	fake-news	-1.0
hawkeyereporter.com	right-center	fake-news	1.0
headlineusa.com	far right	fake-news	1.0
headtopics.com/us/#	left-center	fake-news	-1.0
hendersontimes.org	left-center	fake-news	-1.0
hereistheevidence.com	right	fake-news	1.0
hernandoreporter.com	right-center	fake-news	1.0
heartland.org	right	fake-news	1.0
highereducationtribune.com	right-center	fake-news	1.0
hillsboroughsun.com	right-center	fake-news	1.0
hindustantimes.com	left-center	fake-news	-1.0
hoggwatch.com	extreme right	fake-news	1.0
honolulureporter.com	right-center	fake-news	1.0
hollandreporter.com	right-center	fake-news	1.0
hoosierstatetoday.com	right-center	fake-news	1.0
hopkinsvilletimes.com	right-center	fake-news	1.0
hotspringstimes.com	right-center	fake-news	1.0
houmathibodauxnews.com	right-center	fake-news	1.0
housatonicvalleynews.com	right-center	fake-news	1.0
howardconews.com	right-center	fake-news	1.0
hrdailywire.com	right-center	fake-news	1.0
hudsontoday.com	right-center	fake-news	1.0
huntsvilleleader.com	right-center	fake-news	1.0
hutchtoday.com	right-center	fake-news	1.0
iharare.com	left	fake-news	-1.0
ihatethemedia.com	far-right	fake-news	1.0
ihypocrite.net	extreme right	fake-news	1.0
illegalaliencrimereport.com	extreme right	fake-news	1.0
illicitinfo.com	extreme right	fake-news	1.0
illinoisvalleytimes.com	right-center	fake-news	1.0
imperialcanews.com	right-center	fake-news	1.0
infogalactic.com	extreme right	fake-news	1.0
independentsentinel.com	right	fake-news	1.0
indystandard.com	right-center	fake-news	1.0
informationliberation.com	extreme right	fake-news	1.0
informer.rs	right	fake-news	1.0
infoscum.com	left-center	fake-news	-1.0
ihr.org	extreme right	fake-news	1.0
