topic	word	if_reasonable_yijing
healthcare	free testing	2.0
election_campaign	second debate	2.0
civil_rights	trump black	2.0
crime	federal agents	2.0
healthcare	chinese virus	2.0
economy	income taxes	2.0
environment	global warming	2.0
environment	tropical storm	1.0
intl_affairs	trade agreement	2.0
civil_rights	stop counting	2.0
healthcare	knew coronavirus	2.0
healthcare	negative test	2.0
civil_rights	got shot	2.0
government_ops	acceptance speech	2.0
economy	2019 tax	2.0
election_campaign	republican convention	2.0
healthcare	lock down	2.0
crime	ginsburg replacement	2.0
civil_rights	poll watchers	2.0
healthcare	pre existing	1.0
election_campaign	negative ad	2.0
education	day care	2.0
economy	tax return	2.0
healthcare	china virus	2.0
crime	rooting violence	2.0
election_campaign	gaining support	2.0
healthcare	china flu	2.0
healthcare	walter reed	2.0
environment	hurricane laura	2.0
healthcare	ignore coronavirus	2.0
healthcare	chinese flu	2.0
election_campaign	kamala harris	2.0
healthcare	world health	2.0
civil_rights	diversity training	2.0
crime	amy coney	2.0
government_ops	rbg died	2.0
healthcare	health insurance	2.0
election_campaign	watched debate	2.0
healthcare	drug coupon	2.0
election_campaign	lose support	2.0
civil_rights	racist training	2.0
intl_affairs	nobel prize	1.0
election_campaign	ohio debate	2.0
education	re opening	2.0
election_campaign	cancel debate	2.0
election_campaign	female candidate	2.0
economy	raise tax	2.0
civil_rights	mail delay	2.0
crime	abolish police	2.0
healthcare	wuhan flu	2.0
crime	police abuse	2.0
civil_rights	black man	2.0
healthcare	leave hospital	2.0
environment	wild fire	2.0
healthcare	preexisting conditions	2.0
sstc	tik tok	2.0
healthcare	wearing mask	2.0
healthcare	infect others	2.0
election_campaign	saw debate	2.0
immigration	open border	2.0
immigration	build wall	2.0
election_campaign	town hall	2.0
sstc	fox news	2.0
labour	job loss	2.0
healthcare	nursing homes	2.0
election_campaign	formally accept	2.0
healthcare	beat coronavirus	2.0
healthcare	not wearing	2.0
crime	support police	2.0
healthcare	health care	2.0
intl_affairs	mid east	2.0
sstc	tick tock	2.0
labour	lost job	2.0
crime	replace ruth	2.0
election_campaign	vice-president	2.0
crime	gun control	2.0
election_campaign	gain support	2.0
healthcare	care act	2.0
healthcare	affordable care	2.0
election_campaign	tv ad	2.0
education	distance learning	2.0
civil_rights	unsolicited ballots	2.0
civil_rights	postpone election	2.0
civil_rights	black life	2.0
crime	court vacancy	2.0
healthcare	strenuous flus	2.0
civil_rights	voter fraud	2.0
crime	new supreme	2.0
healthcare	pass away	2.0
energy	clean energy	2.0
healthcare	disease control	2.0
healthcare	wear mask	2.0
civil_rights	lives matter	2.0
economy	small business	2.0
healthcare	first wave	1.0
election_campaign	mayor pete	1.0
crime	supreme court	2.0
intl_affairs	japanese	1.0
environment	smoke	1.0
sstc	pbs	2.0
election_campaign	advertisement	2.0
civil_rights	movements	1.0
environment	tsunami	2.0
intl_affairs	emirates	2.0
intl_affairs	wuhan	2.0
healthcare	recovered	2.0
election_campaign	interrupt	2.0
civil_rights	machines	1.0
healthcare	nurses	1.0
intl_affairs	pakistan	2.0
election_campaign	veepstakes	2.0
crime	roe	1.0
defence	treaty	1.0
defence	interfering	1.0
civil_rights	interfering	1.0
government_ops	socialists	2.0
government_ops	dictatorship	2.0
defence	interfere	1.0
immigration	patrol	1.0
environment	fema	1.0
intl_affairs	lebanon	2.0
election_campaign	appearances	1.0
civil_rights	peacefully	2.0
intl_affairs	merkel	2.0
